infinitief,imperfectum_enkelvoud,imperfectum_meervoud,perfectum,engels
bakken,bakte,bakten,gebakken (heb),to bake
bederven,bedierf,bedierven,bedorven (heb/ben),to spoil
bedriegen,bedroog,bedrogen,bedrogen (heb),to deceive
beginnen,begon,begonnen,begonnen (ben),to begin
begrijpen,begreep,begrepen,begrepen (heb),to understand
bevallen,beviel,bevielen,bevallen (ben),to please
bewegen,bewoog,bewogen,bewogen (heb),to move
bezoeken,bezocht,bezochten,bezocht (heb),to visit
bidden,bad,baden,gebeden (heb),to pray
bieden,bood,boden,geboden (heb),to offer
bijten,beet,beten,gebeten (heb),to bite
binden,bond,bonden,gebonden (heb),to bind
blazen,blies,bliezen,geblazen (heb),to blow
blijken,bleek,bleken,gebleken (is),to appear
blijven,bleef,bleven,gebleven (ben),to stay
braden,braadde,braadden,gebraden (heb),to roast
breken,brak,braken,gebroken (heb),to break
brengen,bracht,brachten,gebracht (heb),to bring
buigen,boog,bogen,gebogen (heb),to bend
denken,dacht,dachten,gedacht (heb),to think
doen,deed,deden,gedaan (heb),to do
dragen,droeg,droegen,gedragen (heb),to carry
drijven,dreef,dreven,gedreven (ben/heb),to float
drinken,dronk,dronken,gedronken (heb),to drink
duiken,dook,doken,gedoken (ben/heb),to dive
dwingen,dwong,dwongen,gedwongen (heb),to force
ervaren,ervoer,ervoeren,ervaren (heb),to experience
eten,at,aten,gegeten (heb),to eat
fluiten,floot,floten,gefloten (heb),to whistle
gaan,ging,gingen,gegaan (ben),to go
genezen,genas,genazen,genezen (ben/heb),to heal
genieten,genoot,genoten,genoten (heb),to enjoy
geven,gaf,gaven,gegeven (heb),to give
gieten,goot,goten,gegoten (heb),to pour
glijden,gleed,gleden,gegleden (ben/heb),to slide
glimmen,glom,glommen,geglommen (heb),to shine
graven,groef,groeven,gegraven (heb),to dig
hangen,hing,hingen,gehangen (heb),to hang
hebben,had,hadden,gehad (heb),to have
helpen,hielp,hielpen,geholpen (heb),to help
heten,heette,heetten,geheten (heb),to be called
houden,hield,hielden,gehouden (heb),to hold
kiezen,koos,kozen,gekozen (heb),to choose
kijken,keek,keken,gekeken (heb),to look
klimmen,klom,klommen,geklommen (ben/heb),to climb
klinken,klonk,klonken,geklonken (heb),to sound
knijpen,kneep,knepen,geknepen (heb),to pinch
komen,kwam,kwamen,gekomen (ben),to come
kopen,kocht,kochten,gekocht (heb),to buy
krijgen,kreeg,kregen,gekregen (heb),to get
krimpen,kromp,krompen,gekrompen (ben/heb),to shrink
kruipen,kroop,kropen,gekropen (ben/heb),to crawl
kunnen,kon,konden,gekund (heb),can / to be able to
lachen,lachte,lachten,gelachen (heb),to laugh
laden,laadde,laadden,geladen (heb),to load
laten,liet,lieten,gelaten (heb),to let
lezen,las,lazen,gelezen (heb),to read
liegen,loog,logen,gelogen (heb),to lie
liggen,lag,lagen,gelegen (heb),to lie (to be located)
lijden,leed,leden,geleden (heb),to suffer
lijken,leek,leken,geleken (heb),to seem
lopen,liep,liepen,gelopen (ben/heb),to walk
meten,mat,maten,gemeten (heb),to measure
moeten,moest,moesten,gemoeten (heb),must / to have to
mogen,mocht,mochten,gemogen (heb),may / to be allowed to
nemen,nam,namen,genomen (heb),to take
ontbijten,ontbeet,ontbeten,ontbeten (heb),to have breakfast
ontwerpen,ontwierp,ontwierpen,ontworpen (heb),to design
overlijden,overleed,overleden,overleden (ben),to pass away
raden,raadde,raadden,geraden (heb),to advise
rijden,reed,reden,gereden (ben/heb),to drive
roepen,riep,riepen,geroepen (heb),to call
ruiken,rook,roken,geroken (heb),to smell
scheiden,scheidde,scheidden,gescheiden (ben/heb),to separate
schelden,schold,scholden,gescholden (heb),to scold
schenken,schonk,schonken,geschonken (heb),to give (as a gift)
scheren,schoor,schoren,geschoren (heb),to shave
schieten,schoot,schoten,geschoten (heb),to shoot
schijnen,scheen,schenen,geschenen (heb),to shine
schrijven,schreef,schreven,geschreven (heb),to write
schrikken,schrok,schrokken,geschrokken (ben),to be startled
schuiven,schoof,schoven,geschoven (ben/heb),to slide
slaan,sloeg,sloegen,geslagen (heb),to hit
slapen,sliep,sliepen,geslapen (heb),to sleep
slijpen,sleep,slepen,geslepen (heb),to sharpen
sluipen,sloop,slopen,geslopen (ben),to sneak
sluiten,sloot,sloten,gesloten (heb),to close
smelten,smolt,smolten,gesmolten (heb),to melt
snijden,sneed,sneden,gesneden (heb),to cut
snuiten,snoot,snoten,gesnoten (heb),to blow (one’s nose)
snuiven,snoof,snoven,gesnoven (heb),to sniff
spijten,speet (het),–,gespeten (heeft),to regret
spreken,sprak,spraken,gesproken (heb),to speak
springen,sprong,sprongen,gesprongen (ben/heb),to jump
spuiten,spoot,spoten,gespoten (heb),to spray
staan,stond,stonden,gestaan (heb),to stand
steken,stak,staken,gestoken (heb),to stab
stelen,stal,stalen,gestolen (heb),to steal
sterven,stierf,stierven,gestorven (ben),to die
stijgen,steeg,stegen,gestegen (ben),to rise
stinken,stonk,stonken,gestonken (heb),to stink
strijden,streed,streden,gestreden (heb),to fight
strijken,streek,streken,gestreken (heb),to iron
trekken,trok,trokken,getrokken (ben/heb),to pull
vallen,viel,vielen,gevallen (ben),to fall
vangen,ving,vingen,gevangen (heb),to catch
varen,voer,voeren,gevaren (ben/heb),to sail
vechten,vocht,vochten,gevochten (heb),to fight
verbieden,verbood,verboden,verboden (heb),to forbid
verdwijnen,verdween,verdwenen,verdwenen (ben),to disappear
vergelijken,vergeleek,vergeleken,vergeleken (heb),to compare
vergeten,vergat,vergaten,vergeten (ben/heb),to forget
verliezen,verloor,verloren,verloren (ben/heb),to lose
vermijden,vermeed,vermeden,vermeden (heb),to avoid
verraden,verraadde,verraadden,verraden (heb),to betray
vertrekken,vertrok,vertrokken,vertrokken (ben),to depart
verwijten,verweet,verweten,verweten (heb),to reproach
verzinnen,verzon,verzonnen,verzonnen (heb),to invent
vinden,vond,vonden,gevonden (heb),to find
vliegen,vloog,vlogen,gevlogen (ben/heb),to fly
vouwen,vouwde,vouwden,gevouwen (heb),to fold
vragen,vroeg,vroegen,gevraagd (heb),to ask
vriezen,vroor (het),–,gevroren (heeft),to freeze
wassen,waste,wasten,gewassen (ben/heb),to wash
wegen,woog,wogen,gewogen (heb),to weigh
werpen,wierp,wierpen,geworpen (heb),to throw
weten,wist,wisten,geweten (heb),to know
wijzen,wees,wezen,gewezen (heb),to point
willen,wilde/wou,wilden/wouden,gewild (heb),to want
winnen,won,wonnen,gewonnen (heb),to win
worden,werd,werden,geworden (ben),to become
wrijven,wreef,wreven,gewreven (heb),to rub
zeggen,zei,zeiden,gezegd (heb),to say
zenden,zond,zonden,gezonden (heb),to send
zien,zag,zagen,gezien (heb),to see
zijn,was,waren,geweest (ben),to be
zingen,zong,zongen,gezongen (heb),to sing
zinken,zonk,zonken,gezonken (ben),to sink
zitten,zat,zaten,gezeten (heb),to sit
zoeken,zocht,zochten,gezocht (heb),to search
zuigen,zoog,zogen,gezogen (heb),to suck
zullen,zou,zouden,–,will / shall
zwemmen,zwom,zwommen,gezwommen (ben/heb),to swim
zwijgen,zweeg,zwegen,gezwegen (heb),to be silent
